Time,Position_y,Velocity_v,Input_u
0,0.0000,0.0000,0.0000
1,0.4945,0.6077,0.6077
2,3.5242,2.3351,0.7763
3,3.5242,0.0000,0.1902
4,2.0556,-1.3313,-0.5846
5,2.6657,0.5794,0.1495
6,3.4786,0.6883,-0.8053
7,3.9610,0.5196,0.4891
8,3.9610,0.0000,0.3648
9,3.1220,-2.1503,-0.6888
10,3.1220,0.0000,-0.6596
11,2.6807,-0.4355,-0.4748
12,2.7017,0.0210,-0.4378
13,3.0397,0.4120,-0.4607
14,2.7229,-0.3110,-0.9247
15,3.6227,0.9203,0.4179
16,3.6227,0.0000,0.7695
17,2.6519,-0.8075,0.1181
18,2.0497,-0.5771,-0.7145
19,2.0497,0.0000,-0.7187
20,6.6994,2.4736,0.6986
21,6.6994,0.0000,0.5861
22,7.1910,0.5916,-0.2170
23,9.2583,1.7961,-0.3683
24,9.2583,0.0000,0.2369
25,9.2524,-0.0059,-0.3374
26,9.2031,-0.0492,-0.3864
27,10.5177,1.3517,0.9612
28,10.5177,0.0000,-0.0108
29,9.9262,-0.8552,0.9208
30,8.2728,-1.9173,-0.0895
31,8.2728,0.0000,0.4967
32,9.5301,1.6170,-0.2101
33,9.5301,0.0000,-0.7240
34,9.7451,0.2130,0.4233
35,10.2910,0.5134,0.9298
36,10.1670,-0.1234,0.8843
37,8.8539,-0.9931,0.4822
38,8.8539,0.0000,-0.4939
39,9.8270,1.0852,0.0045
40,10.2437,0.6760,0.3836
41,9.5045,-0.8393,-0.0438
42,8.4690,-0.8923,0.1063
43,8.4690,0.0000,-0.5131
44,9.3443,2.3177,0.6843
45,9.3443,0.0000,-0.2603
46,10.2113,0.7669,0.6062
47,10.2113,0.0000,-0.8425
48,9.5659,-1.7462,-0.3304
49,9.5659,0.0000,0.0093
50,8.5876,-0.6921,-0.4109
51,10.5207,1.5760,0.7811
52,10.4225,-0.1004,0.1462
53,10.4225,0.0000,-0.5956
54,10.5305,-1.7939,-0.1134
55,10.5305,0.0000,0.3624
56,8.2887,-2.3209,-0.5333
57,8.2887,0.0000,0.4049
58,9.3724,1.8345,0.0205
59,9.3724,0.0000,-0.4016
60,10.0719,0.9418,0.8372
61,10.0719,0.0000,-0.5835
62,6.8091,-2.0252,-0.8193
63,6.8091,0.0000,0.7797
64,7.7346,1.2845,0.2805
